,Key,Title,Description,CategoryGroupID
40,CRI3000,3 Gewelds- en seksuele misdrijven,"Hieronder vallen onder andere de gevallen van eenvoudige en zware mishandeling, bedreiging en stalking, de seksuele misdrijven, de
 levensdelicten moord en doodslag, gijzeling en mensenhandel.",4
41,CRI3100,31 Mishandeling,Geweldsmisdrijf omschreven in artikel 300-306 Wetboek van Strafrecht.,4
42,CRI3200,32 Bedreiging en stalking,Geweldsmisdrijf omschreven in artikel 284a-285b Wetboek van Strafrecht.,4
43,CRI3210,321 Bedreiging,Geweldsmisdrijf omschreven in artikel 284a-285a Wetboek van Strafrecht.,4
44,CRI3220,322 Stalking,Geweldsmisdrijf omschreven in artikel 285b Wetboek van Strafrecht.,4
45,CRI3300,33 Seksueel misdrijf,Geweldsmisdrijf omschreven in artikel 239-250 Wetboek van Strafrecht.,4
46,CRI3310,331 Aanranding,Geweldsmisdrijf omschreven in artikel 246 Wetboek van Strafrecht.,4
47,CRI3320,332 Verkrachting,Geweldsmisdrijf omschreven in artikel 242 Wetboek van Strafrecht.,4
48,CRI3330,333 Schennis der eerbaarheid,Geweldsmisdrijf omschreven in artikel 239 Wetboek van Strafrecht.,4
49,CRI3340,334 Ontucht met minderjarige,Geweldsmisdrijf omschreven in artikel 248a-248e Wetboek van Strafrecht.,4
50,CRI3350,335 Pornografie,Geweldsmisdrijf omschreven in artikel 240-240b Wetboek van Strafrecht.,4
51,CRI3360,336 Ontucht met misbruik van gezag,Geweldsmisdrijf omschreven in artikel 249 Wetboek van Strafrecht.,4
52,CRI3370,337 Seksueel misdrijf (overig),"Geweldsmisdrijf omschreven in artikel 243-245, 247-248, 250 Wetboek van Strafrecht.",4
53,CRI3400,34 Levensmisdrijf,Geweldsmisdrijf omschreven in artikel 287-296 Wetboek van Strafrecht.,4
54,CRI3500,35 Vrijheidsbeneming/gijzeling,Geweldsmisdrijf omschreven in artikel 282-282a Wetboek van Strafrecht.,4
55,CRI3624,36 Mensenhandel en 244 mensensmokkel,"Misdrijven omschreven in artikel 197a en artikel 273f Wetboek van Strafrecht. Hoewel artikel 197a Sr een misdrijf tegen het openbaar gezag is, wordt het hier geteld omdat in de politieregistratie het onderscheid tussen mensenhandel en mensensmokkel niet goed te maken is.",4
56,CRI3700,37 Geweldsmisdrijf (overig),"Geweldsmisdrijf omschreven in artikel 274-281, 307-308 Wetboek van Strafrecht.",4
57,CRI4000,4 Misdrijven WvSr (overig),"Alle misdrijven, omschreven in het Wetboek van Strafrecht, niet zijnde een vermogensmisdrijf, een vernieling en openbare orde misdrijf of een gewelds- en seksueel misdrijf.",5
58,CRI5000,5 Verkeersmisdrijven,"De Wegenverkeerswet 1994 is de basis voor de regelgeving van het wegverkeer in Nederland. In deze wet staat beschreven wat verkeersdelicten (misdrijf of overtreding) zijn. 
De meest voorkomende verkeersmisdrijven zijn rijden onder invloed en verlaten plaats ongeval.",6
59,CRI5100,51 Verlaten plaats ongeval,Verkeersmisdrijf omschreven in artikel 7 Wegenverkeerswet.,6
